Type,Serial Number,Name,Description,Category,Quantity,Package Name,Box Name,Contractor Name,Location,Status,Created Date,Shipped Date,Delivered Date
Contractor,,,Makro,,,,,,,,1730793600000,,
Package,,,H16,,,,,,Makro,,READY,1730793600000,,
Package,,,H17,,,,,,Makro,,READY,1730793600000,,
Package,,,H18,,,,,,Makro,,READY,1730793600000,,
Package,,,H19,,,,,,Makro,,READY,1730793600000,,
Package,,,H20,,,,,,Makro,,READY,1730793600000,,
Package,,,H21,,,,,,Makro,,READY,1730793600000,,
Package,,,H22,,,,,,Makro,,READY,1730793600000,,
Package,,,H23,,,,,,Makro,,READY,1730793600000,,
Package,,,H24,,,,,,Makro,,READY,1730793600000,,
Package,,,H25,,,,,,Makro,,READY,1730793600000,,
Package,,,H26,,,,,,Makro,,READY,1730793600000,,
Package,,,H28,,,,,,Makro,,READY,1730793600000,,
Package,,,H31,,,,,,Makro,,READY,1730793600000,,
Box,,,box 1,,,,,,,1730793600000,,
Product,XXZGN243,ZQ310 Plus,,Printer,1,H18,,,,,1730793600000,,
Product,XXAKM251,1-Slot Doc Dostawa Printer,,Printer Dock,1,H18,,,,,1730793600000,,
Product,XXAKM251,1-Slot Doc Dostawa Printer,,Printer Dock,1,H17,,,,,1730793600000,,
Product,XXAKM250,1-Slot Doc Dostawa Printer,,Printer Dock,1,H20,,,,,1730793600000,,
Product,XXAKM251,1-Slot Doc Dostawa Printer,,Printer Dock,1,H31,,,,,1730793600000,,
Product,XXAKM251,1-Slot Doc Dostawa Printer,,Printer Dock,1,H16,,,,,1730793600000,,
Product,XXAKM250,1-Slot Doc Dostawa Printer,,Printer Dock,1,H28,,,,,1730793600000,,
Product,XXAKM251,1-Slot Doc Dostawa Printer,,Printer Dock,1,H25,,,,,1730793600000,,
Product,XXAKM251,1-Slot Doc Dostawa Printer,,Printer Dock,1,H26,,,,,1730793600000,,
Product,XXAKM251,1-Slot Doc Dostawa Printer,,Printer Dock,1,H21,,,,,1730793600000,,
Product,XXAKM251,1-Slot Doc Dostawa Printer,,Printer Dock,1,H19,,,,,1730793600000,,
Product,XXAKM251,1-Slot Doc Dostawa Printer,,Printer Dock,1,H22,,,,,1730793600000,,
Product,XXAKM251,1-Slot Doc Dostawa Printer,,Printer Dock,1,H23,,,,,1730793600000,,
Product,XXAKM251,1-Slot Doc Dostawa Printer,,Printer Dock,1,H24,,,,,1730793600000,,
Product,XXZGN245,ZQ310 Plus,,Printer,1,H16,,,,,1730793600000,,
